bar,timestamp,session,p_profit,action,signal,equity_cny,exec,risk_event,drawdown_pct
78,2024-01-15 08:02:43.636364,SSE_TO_NASDAQ,0.7700373264060534,INACTION,HOLD,999775.4463142102,[FX SSE→NASDAQ] USD=0.00,,-0.07952337435042599
79,2024-01-15 08:07:45.734266,SSE_TO_NASDAQ,0.7167698000076871,INACTION,HOLD,998206.4361015038,[FX SSE→NASDAQ] USD=0.00,,-0.23633483522607504
80,2024-01-15 08:12:47.832168,SSE_TO_NASDAQ,0.6954099833138367,INACTION,HOLD,997526.3372348938,[FX SSE→NASDAQ] USD=0.00,,-0.3043059012837178
81,2024-01-15 08:17:49.930070,SSE_TO_NASDAQ,0.670886645466521,INACTION,HOLD,996973.8070885577,[FX SSE→NASDAQ] USD=0.00,,-0.3595273770415736
82,2024-01-15 08:22:52.027972,SSE_TO_NASDAQ,0.6518314887453138,INACTION,HOLD,997895.7216804274,[FX SSE→NASDAQ] USD=0.00,,-0.2673885414986877
83,2024-01-15 08:27:54.125874,SSE_TO_NASDAQ,0.6169266248889838,INACTION,HOLD,998759.6101984332,[FX SSE→NASDAQ] USD=0.00,,-0.18104900116611852
84,2024-01-15 08:32:56.223776,INACTIVE,0.6109359074801749,INACTION,HOLD,999224.0630633322,[INACTIVE / HOLD],,-0.1346302260282083
85,2024-01-15 08:37:58.321678,INACTIVE,0.6548682017406442,INACTION,HOLD,999990.6707484286,[INACTIVE / HOLD],,-0.058013216116527426
86,2024-01-15 08:43:00.419580,INACTIVE,0.6746714524099885,INACTION,HOLD,1002342.2497014318,[INACTIVE / HOLD],,0.0
87,2024-01-15 08:48:02.517483,INACTIVE,0.6486573358562575,INACTION,HOLD,1001840.8821884557,[INACTIVE / HOLD],,-0.05001959292103179
88,2024-01-15 08:53:04.615385,INACTIVE,0.6433231303680118,INACTION,HOLD,1000907.5085301737,[INACTIVE / HOLD],,-0.14313885019667863
89,2024-01-15 08:58:06.713287,INACTIVE,0.5964099062566502,INACTION,HOLD,1000489.3852476826,[INACTIVE / HOLD],,-0.1848534723844253
90,2024-01-15 09:03:08.811189,INACTIVE,0.6080386593258694,INACTION,HOLD,997355.6420593386,[INACTIVE / HOLD],,-0.4974955055100756
91,2024-01-15 09:08:10.909091,INACTIVE,0.6162369586231131,INACTION,HOLD,998067.849043492,[INACTIVE / HOLD],,-0.4264412339411069
92,2024-01-15 09:13:13.006993,INACTIVE,0.5885968124866029,INACTION,HOLD,999772.2845738177,[INACTIVE / HOLD],,-0.2563959693786836
93,2024-01-15 09:18:15.104895,INACTIVE,0.5418836574562141,INACTION,HOLD,999948.1669856602,[INACTIVE / HOLD],,-0.23884882798113627
94,2024-01-15 09:23:17.202797,INACTIVE,0.5132785870450481,INACTION,HOLD,1000979.7025590736,[INACTIVE / HOLD],,-0.13593631743689594
95,2024-01-15 09:28:19.300699,INACTIVE,0.53358106409339,INACTION,HOLD,1001127.1188044628,[INACTIVE / HOLD],,-0.12122914077810751
96,2024-01-15 09:33:21.398601,INACTIVE,0.5089395538194948,INACTION,HOLD,1002022.9653644292,[INACTIVE / HOLD],,-0.031853824090301755
97,2024-01-15 09:38:23.496503,INACTIVE,0.47313144635933596,INACTION,HOLD,1002022.3881807646,[INACTIVE / HOLD],,-0.031911407581840245
98,2024-01-15 09:43:25.594406,INACTIVE,0.42249540407037056,INACTION,HOLD,1001189.5207683488,[INACTIVE / HOLD],,-0.11500352633308361
99,2024-01-15 09:48:27.692308,INACTIVE,0.39136925132417955,INACTION,HOLD,1000878.5483720504,[INACTIVE / HOLD],,-0.14602809866763872
100,2024-01-15 09:53:29.790210,INACTIVE,0.4499959643756637,INACTION,HOLD,1001663.2914678949,[INACTIVE / HOLD],,-0.0677371659968599
101,2024-01-15 09:58:31.888112,INACTIVE,0.4957056867697268,INACTION,HOLD,1001056.2252037604,[INACTIVE / HOLD],,-0.12830193459913214
102,2024-01-15 10:03:33.986014,INACTIVE,0.5420561658896709,INACTION,HOLD,1001017.0305353242,[INACTIVE / HOLD],,-0.13221224252517885
103,2024-01-15 10:08:36.083916,INACTIVE,0.5175580567990161,INACTION,HOLD,1001959.0292367109,[INACTIVE / HOLD],,-0.038232496418775366
104,2024-01-15 10:13:38.181818,INACTIVE,0.41161604622660247,INACTION,HOLD,1001964.5640061388,[INACTIVE / HOLD],,-0.03768031282783014
105,2024-01-15 10:18:40.279720,INACTIVE,0.4121390239197314,INACTION,HOLD,1002828.3505802705,[INACTIVE / HOLD],,0.0
106,2024-01-15 10:23:42.377622,INACTIVE,0.41425667942960265,INACTION,HOLD,1002686.240717291,[INACTIVE / HOLD],,-0.014170906007720238
107,2024-01-15 10:28:44.475524,INACTIVE,0.45412133096973833,INACTION,HOLD,1002938.344217619,[INACTIVE / HOLD],,0.0
108,2024-01-15 10:33:46.573427,INACTIVE,0.5112416075269978,INACTION,HOLD,1002634.3925562863,[INACTIVE / HOLD],,-0.03030611633159287
109,2024-01-15 10:38:48.671329,INACTIVE,0.5338132028350133,INACTION,HOLD,1000129.5021416578,[INACTIVE / HOLD],,-0.2800612911207853
110,2024-01-15 10:43:50.769231,INACTIVE,0.6312103981114066,INACTION,HOLD,998565.3748639477,[INACTIVE / HOLD],,-0.43601577094777466
111,2024-01-15 10:48:52.867133,INACTIVE,0.6585624021644615,INACTION,HOLD,998736.3000578292,[INACTIVE / HOLD],,-0.4189733281229531
112,2024-01-15 10:53:54.965035,INACTIVE,0.7051345632750435,INACTION,HOLD,999506.3224243135,[INACTIVE / HOLD],,-0.3421966876720426
113,2024-01-15 10:58:57.062937,INACTIVE,0.7425764911705317,INACTION,HOLD,1000209.5375725937,[INACTIVE / HOLD],,-0.2720811962926885
114,2024-01-15 11:03:59.160839,INACTIVE,0.7542002002484937,INACTION,HOLD,1001199.2218605906,[INACTIVE / HOLD],,-0.1734027188266581
115,2024-01-15 11:09:01.258741,INACTIVE,0.7485068315136336,INACTION,HOLD,1000973.4757913167,[INACTIVE / HOLD],,-0.19591118812344355
116,2024-01-15 11:14:03.356643,INACTIVE,0.7693740124386823,INACTION,HOLD,1001757.381767519,[INACTIVE / HOLD],,-0.11775025423135525
117,2024-01-15 11:19:05.454545,INACTIVE,0.7640994732593088,INACTION,HOLD,1002872.5343286914,[INACTIVE / HOLD],,-0.0065617083350176155
118,2024-01-15 11:24:07.552448,INACTIVE,0.7506039470435395,INACTION,HOLD,1001268.1879285811,[INACTIVE / HOLD],,-0.16652631726238043
119,2024-01-15 11:29:09.650350,INACTIVE,0.6804642440870546,INACTION,HOLD,1002647.6413773675,[INACTIVE / HOLD],,-0.02898511577780712
120,2024-01-15 11:34:11.748252,INACTIVE,0.6849716015109029,INACTION,HOLD,1002122.365215956,[INACTIVE / HOLD],,-0.08135883988956254
121,2024-01-15 11:39:13.846154,INACTIVE,0.6743707696325466,INACTION,HOLD,1002193.0863030799,[INACTIVE / HOLD],,-0.07430745058616343
122,2024-01-15 11:44:15.944056,INACTIVE,0.6479456507986829,INACTION,HOLD,1002012.5557243214,[INACTIVE / HOLD],,-0.09230761777483353
123,2024-01-15 11:49:18.041958,INACTIVE,0.6612863092018284,INACTION,HOLD,1002602.802193674,[INACTIVE / HOLD],,-0.03345589745167934
124,2024-01-15 11:54:20.139860,INACTIVE,0.6048356603533345,INACTION,HOLD,1003218.7844132121,[INACTIVE / HOLD],,0.0
125,2024-01-15 11:59:22.237762,INACTIVE,0.5902491261346403,INACTION,HOLD,1002807.4160695083,[INACTIVE / HOLD],,-0.041004848602830844
126,2024-01-15 12:04:24.335664,INACTIVE,0.6355707399819894,INACTION,HOLD,1003962.466778646,[INACTIVE / HOLD],,0.0
127,2024-01-15 12:09:26.433566,INACTIVE,0.6230916555683449,INACTION,HOLD,1005233.4825465854,[INACTIVE / HOLD],,0.0
128,2024-01-15 12:14:28.531469,INACTIVE,0.5739617230890024,INACTION,HOLD,1005180.9154092473,[INACTIVE / HOLD],,-0.005229346042566633
129,2024-01-15 12:19:30.629371,INACTIVE,0.5010404206565835,INACTION,HOLD,1006260.1516759119,[INACTIVE / HOLD],,0.0
130,2024-01-15 12:24:32.727273,INACTIVE,0.408665756758555,INACTION,HOLD,1004309.5680480452,[INACTIVE / HOLD],,-0.1938448645330958
131,2024-01-15 12:29:34.825175,INACTIVE,0.503289791599807,INACTION,HOLD,1003639.1930065306,[INACTIVE / HOLD],,-0.2604653145626451
132,2024-01-15 12:34:36.923077,INACTIVE,0.45914881895036386,INACTION,HOLD,1004844.678318405,[INACTIVE / HOLD],,-0.140666740618662
133,2024-01-15 12:39:39.020979,INACTIVE,0.5354151621176853,INACTION,HOLD,1005497.9622987747,[INACTIVE / HOLD],,-0.07574476400239981
134,2024-01-15 12:44:41.118881,INACTIVE,0.5376572978182999,INACTION,HOLD,1005185.1791965009,[INACTIVE / HOLD],,-0.10682848541906213
135,2024-01-15 12:49:43.216783,INACTIVE,0.5156273115400013,INACTION,HOLD,1003161.6147133937,[INACTIVE / HOLD],,-0.307926032582881
136,2024-01-15 12:54:45.314685,INACTIVE,0.632598281438976,INACTION,HOLD,1003394.6529703013,[INACTIVE / HOLD],,-0.28476718479193147
137,2024-01-15 12:59:47.412587,INACTIVE,0.7019929892820788,INACTION,HOLD,1004314.5334422454,[INACTIVE / HOLD],,-0.19335141418707724
138,2024-01-15 13:04:49.510490,INACTIVE,0.7465133304979785,INACTION,HOLD,1004663.418369098,[INACTIVE / HOLD],,-0.15867997000124975
139,2024-01-15 13:09:51.608392,INACTIVE,0.7747618032266821,INACTION,HOLD,1004736.7043804501,[INACTIVE / HOLD],,-0.1513969616032693
140,2024-01-15 13:14:53.706294,INACTIVE,0.7750999777327681,INACTION,HOLD,1004528.1160595797,[INACTIVE / HOLD],,-0.1721260265993359
141,2024-01-15 13:19:55.804196,INACTIVE,0.801091041251643,INACTION,HOLD,1004703.1491775552,[INACTIVE / HOLD],,-0.1547316065098532
142,2024-01-15 13:24:57.902098,INACTIVE,0.7840464206491983,INACTION,HOLD,1006161.9664070292,[INACTIVE / HOLD],,-0.00975744381004612
143,2024-01-15 13:30:00.000000,INACTIVE,0.7484186966973205,INACTION,HOLD,1006275.6790316483,[INACTIVE / HOLD],,0.0
144,2024-01-15 13:35:02.097902,INACTIVE,0.7344674377359843,INACTION,HOLD,1006286.4713549835,[INACTIVE / HOLD],,0.0
145,2024-01-15 13:40:04.195804,INACTIVE,0.7099404854756051,INACTION,HOLD,1005632.5463385523,[INACTIVE / HOLD],,-0.06498398170361283
146,2024-01-15 13:45:06.293706,INACTIVE,0.6986972430133009,INACTION,HOLD,1003707.018432633,[INACTIVE / HOLD],,-0.25633385678704496
147,2024-01-15 13:50:08.391608,INACTIVE,0.6373162717873806,INACTION,HOLD,1003051.9472666562,[INACTIVE / HOLD],,-0.32143173742283915
148,2024-01-15 13:55:10.489510,INACTIVE,0.5836845173184982,INACTION,HOLD,1004377.2266365238,[INACTIVE / HOLD],,-0.18973172876793545
149,2024-01-15 14:00:12.587413,INACTIVE,0.5080355273154166,INACTION,HOLD,1005239.7522561493,[INACTIVE / HOLD],,-0.10401800368286544
150,2024-01-15 14:05:14.685315,INACTIVE,0.4926107153923612,INACTION,HOLD,1004447.9408265423,[INACTIVE / HOLD],,-0.18270448632441322
151,2024-01-15 14:10:16.783217,INACTIVE,0.5339827220478918,INACTION,HOLD,1003787.3349625075,[INACTIVE / HOLD],,-0.2483523791302591
152,2024-01-15 14:15:18.881119,INACTIVE,0.5739868120833993,INACTION,HOLD,1002286.1146511976,[INACTIVE / HOLD],,-0.39753656813048355
153,2024-01-15 14:20:20.979021,INACTIVE,0.5882629782055866,INACTION,HOLD,1001361.7508690209,[INACTIVE / HOLD],,-0.4893954779429107
154,2024-01-15 14:25:23.076923,INACTIVE,0.6111324809907775,INACTION,HOLD,1002082.8579892957,[INACTIVE / HOLD],,-0.4177352558489165
155,2024-01-15 14:30:25.174825,US_HOURS,0.6848290186746148,RISK:NASDAQ e,HOLD,1001901.2012427255,[NASDAQ HOLD],,-0.4357874459301019
156,2024-01-15 14:35:27.272727,US_HOURS,0.78348987736729,RISK:NASDAQ e,HOLD,1001965.5055653305,[NASDAQ HOLD],,-0.4293971858565033
157,2024-01-15 14:40:29.370629,US_HOURS,0.7998091935032727,RISK:NASDAQ e,HOLD,1001933.5975694036,[NASDAQ HOLD],,-0.43256805189070024
158,2024-01-15 14:45:31.468531,US_HOURS,0.7856675659099918,RISK:NASDAQ e,HOLD,1001072.8554096955,[NASDAQ HOLD],,-0.5181045451468451
159,2024-01-15 14:50:33.566434,US_HOURS,0.7582340368818086,RISK:NASDAQ e,HOLD,1001127.1430622841,[NASDAQ HOLD],,-0.5127096944622814
160,2024-01-15 14:55:35.664336,US_HOURS,0.7249948386549341,RISK:NASDAQ e,HOLD,1000253.3029839143,[NASDAQ HOLD],,-0.5995477970547954
161,2024-01-15 15:00:37.762238,US_HOURS,0.7100911520955923,RISK:NASDAQ e,HOLD,1002388.1560524377,[NASDAQ HOLD],,-0.3873961752955526
162,2024-01-15 15:05:39.860140,US_HOURS,0.6843650465725521,RISK:NASDAQ e,HOLD,1001206.84480152,[NASDAQ HOLD],,-0.5047893117974348
163,2024-01-15 15:10:41.958042,US_HOURS,0.6446801002356144,RISK:NASDAQ e,HOLD,1002120.9615280338,[NASDAQ HOLD],,-0.4139487060121896
164,2024-01-15 15:15:44.055944,US_HOURS,0.5975420240120883,RISK:NASDAQ e,HOLD,1001596.2453905749,[NASDAQ HOLD],,-0.4660925191703232
165,2024-01-15 15:20:46.153846,US_HOURS,0.6120889473690427,RISK:NASDAQ e,HOLD,1001876.6877399681,[NASDAQ HOLD],,-0.43822348213402756
166,2024-01-15 15:25:48.251748,US_HOURS,0.6100585102709216,RISK:NASDAQ e,HOLD,1002832.9581681363,[NASDAQ HOLD],,-0.34319384043760276
167,2024-01-15 15:30:50.349650,US_HOURS,0.5836579496496648,RISK:NASDAQ e,HOLD,1001969.3463426139,[NASDAQ HOLD],,-0.42901550753797774
168,2024-01-15 15:35:52.447552,US_HOURS,0.5441934544761912,INACTION,HOLD,1003382.5478064145,[NASDAQ HOLD],,-0.28857821616728896
169,2024-01-15 15:40:54.545455,US_HOURS,0.47996349987254633,INACTION,HOLD,1002109.6083728824,[NASDAQ HOLD],,-0.4150769289859306
170,2024-01-15 15:45:56.643357,US_HOURS,0.5115382734028654,INACTION,HOLD,1001887.9903089835,[NASDAQ HOLD],,-0.43710028617172886
171,2024-01-15 15:50:58.741259,US_HOURS,0.5491529295437786,INACTION,HOLD,1001354.2656078594,[NASDAQ HOLD],,-0.4901393278678232
172,2024-01-15 15:56:00.839161,US_HOURS,0.6081693572165362,RISK:NASDAQ e,HOLD,1002091.9569284264,[NASDAQ HOLD],,-0.4168310462237575
173,2024-01-15 16:01:02.937063,US_HOURS,0.5529135846506688,RISK:NASDAQ e,HOLD,1002625.9849582476,[NASDAQ HOLD],,-0.3637618611534115
174,2024-01-15 16:06:05.034965,US_HOURS,0.44985926120723496,INACTION,HOLD,1003754.9006064519,[NASDAQ HOLD],,-0.2515755523497001
175,2024-01-15 16:11:07.132867,US_HOURS,0.40183884162085726,INACTION,HOLD,1003770.1866677004,[NASDAQ HOLD],,-0.25005649573077066
176,2024-01-15 16:16:09.230769,US_HOURS,0.3650271025930207,INACTION,HOLD,1004648.2877736872,[NASDAQ HOLD],,-0.16279495232510757
177,2024-01-15 16:21:11.328671,US_HOURS,0.3740035552957773,INACTION,HOLD,1006213.2671811078,[NASDAQ HOLD],,-0.007274685286901348
178,2024-01-15 16:26:13.426573,US_HOURS,0.40887021314418553,INACTION,HOLD,1006069.6295393548,[NASDAQ HOLD],,-0.0215487161758929
179,2024-01-15 16:31:15.524476,US_HOURS,0.4417422801464622,INACTION,HOLD,1005806.946188452,[NASDAQ HOLD],,-0.04765294776206908
180,2024-01-15 16:36:17.622378,US_HOURS,0.527494964173039,INACTION,HOLD,1006273.2729253175,[NASDAQ HOLD],,-0.001311597645571241
181,2024-01-15 16:41:19.720280,US_HOURS,0.5944092401830556,RISK:NASDAQ e,HOLD,1005381.1062972589,[NASDAQ HOLD],,-0.08997090624755717
182,2024-01-15 16:46:21.818182,US_HOURS,0.6854454610396215,RISK:NASDAQ e,HOLD,1006383.0620038302,[NASDAQ HOLD],,0.0
183,2024-01-15 16:51:23.916084,US_HOURS,0.7326221717973955,RISK:NASDAQ e,HOLD,1004503.8752274194,[NASDAQ HOLD],,-0.1867267889693114
184,2024-01-15 16:56:26.013986,US_HOURS,0.7314201720853112,RISK:NASDAQ e,HOLD,1003809.150848334,[NASDAQ HOLD],,-0.2557585925950788
185,2024-01-15 17:01:28.111888,US_HOURS,0.768393559938385,RISK:NASDAQ e,HOLD,1004501.997253774,[NASDAQ HOLD],,-0.18691339521462325
186,2024-01-15 17:06:30.209790,US_HOURS,0.7404971673098437,RISK:NASDAQ e,HOLD,1004098.0513069842,[NASDAQ HOLD],,-0.2270517840688143
187,2024-01-15 17:11:32.307692,US_HOURS,0.780073917427763,RISK:NASDAQ e,HOLD,1005918.1743574429,[NASDAQ HOLD],,-0.0461939060720759
